Data;Vazao;VazaoStatus;Unidades;MetodoObtencao;NivelConsistencia;CodigoEstacao;Responsavel
2024-01-01;0.0;120,7887;m³/s;1;1;41410000;ANA
2024-01-02;86,3394;;m³/s;1;1;41410000;ANA
2024-01-03;111,0168;;m³/s;1;1;41410000;ANA
2024-01-04;98,4211;;m³/s;1;1;41410000;ANA
2024-01-05;111,8207;;m³/s;1;1;41410000;ANA
2024-01-06;149,9614;;m³/s;1;1;41410000;ANA
2024-01-07;247,8949;1.0;m³/s;1;1;41410000;ANA
2024-01-08;114,2437;1.0;m³/s;1;1;41410000;ANA
2024-01-09;87,4497;;m³/s;1;1;41410000;ANA
2024-01-10;88,1924;;m³/s;1;1;41410000;ANA
2024-01-11;76,2078;;m³/s;1;1;41410000;ANA
2024-01-12;68,2055;;m³/s;1;1;41410000;ANA
2024-01-13;76,9175;;m³/s;1;1;41410000;ANA
2024-01-14;83,402;;m³/s;1;1;41410000;ANA
2024-01-15;121,2017;;m³/s;1;1;41410000;ANA
2024-01-16;366,393;;m³/s;1;1;41410000;ANA
2024-01-17;189,7268;;m³/s;1;1;41410000;ANA
2024-01-18;114,6492;1.0;m³/s;1;1;41410000;ANA
2024-01-19;81,2212;1.0;m³/s;1;1;41410000;ANA
2024-01-20;117,9103;1.0;m³/s;1;1;41410000;ANA
2024-01-21;78,7013;;m³/s;1;1;41410000;ANA
2024-01-22;65,4918;1.0;m³/s;1;1;41410000;ANA
2024-01-23;58,8701;;m³/s;1;1;41410000;ANA
2024-01-24;68,5472;;m³/s;1;1;41410000;ANA
2024-01-25;98,0357;;m³/s;1;1;41410000;ANA
2024-01-26;394,0708;;m³/s;1;1;41410000;ANA
2024-01-27;305,3111;;m³/s;1;1;41410000;ANA
2024-01-28;159,2443;1.0;m³/s;1;1;41410000;ANA
2024-01-29;140,2662;1.0;m³/s;1;1;41410000;ANA
2024-01-30;97,6507;;m³/s;1;1;41410000;ANA
2024-01-31;164,188;1.0;m³/s;1;1;41410000;ANA
2023-12-01;0.0;49,3877;m³/s;1;1;41410000;ANA
2023-12-02;35,6926;1.0;m³/s;1;1;41410000;ANA
2023-12-03;36,2449;1.0;m³/s;1;1;41410000;ANA
2023-12-04;64,4837;1.0;m³/s;1;1;41410000;ANA
2023-12-05;67,1836;;m³/s;1;1;41410000;ANA
2023-12-06;60,5035;;m³/s;1;1;41410000;ANA
2023-12-07;73,391;1.0;m³/s;1;1;41410000;ANA
2023-12-08;68,5472;;m³/s;1;1;41410000;ANA
2023-12-09;57,2515;;m³/s;1;1;41410000;ANA
2023-12-10;44,265;;m³/s;1;1;41410000;ANA
2023-12-11;40,1885;1.0;m³/s;1;1;41410000;ANA
2023-12-12;39,9023;;m³/s;1;1;41410000;ANA
2023-12-13;36,7999;;m³/s;1;1;41410000;ANA
2023-12-14;40,4753;;m³/s;1;1;41410000;ANA
2023-12-15;96,116;;m³/s;1;1;41410000;ANA
2023-12-16;61,8208;1.0;m³/s;1;1;41410000;ANA
2023-12-17;43,6747;1.0;m³/s;1;1;41410000;ANA
2023-12-18;37,3578;;m³/s;1;1;41410000;ANA
2023-12-19;33,512;1.0;m³/s;1;1;41410000;ANA
2023-12-20;33,7821;1.0;m³/s;1;1;41410000;ANA
2023-12-21;35,4176;1.0;m³/s;1;1;41410000;ANA
2023-12-22;38,7646;1.0;m³/s;1;1;41410000;ANA
2023-12-23;37,9184;1.0;m³/s;1;1;41410000;ANA
2023-12-24;41,6294;;m³/s;1;1;41410000;ANA
2023-12-25;56,2877;1.0;m³/s;1;1;41410000;ANA
2023-12-26;74,4432;;m³/s;1;1;41410000;ANA
2023-12-27;55,9676;;m³/s;1;1;41410000;ANA
2023-12-28;50,3109;;m³/s;1;1;41410000;ANA
2023-12-29;59,8483;;m³/s;1;1;41410000;ANA
2023-12-30;65,829;;m³/s;1;1;41410000;ANA
2023-12-31;43,9695;1.0;m³/s;1;1;41410000;ANA
2023-11-01;0.0;37,0785;m³/s;1;1;41410000;ANA
