Data;Vazao;VazaoStatus;Unidades;MetodoObtencao;NivelConsistencia;CodigoEstacao;Responsavel
2023-12-01;0.0;57,9972;m³/s;1;1;41260000;ANA
2023-12-02;23,7407;1.0;m³/s;1;1;41260000;ANA
2023-12-03;80,4544;1.0;m³/s;1;1;41260000;ANA
2023-12-04;53,1119;1.0;m³/s;1;1;41260000;ANA
2023-12-05;46,9925;1.0;m³/s;1;1;41260000;ANA
2023-12-06;59,0578;1.0;m³/s;1;1;41260000;ANA
2023-12-07;65,8843;1.0;m³/s;1;1;41260000;ANA
2023-12-08;37,5445;1.0;m³/s;1;1;41260000;ANA
2023-12-09;28,3621;1.0;m³/s;1;1;41260000;ANA
2023-12-10;28,3621;1.0;m³/s;1;1;41260000;ANA
2023-12-11;26,8961;1.0;m³/s;1;1;41260000;ANA
2023-12-12;25,7374;1.0;m³/s;1;1;41260000;ANA
2023-12-13;38,1789;1.0;m³/s;1;1;41260000;ANA
2023-12-14;74,7651;1.0;m³/s;1;1;41260000;ANA
2023-12-15;38,4971;1.0;m³/s;1;1;41260000;ANA
2023-12-16;28,3621;1.0;m³/s;1;1;41260000;ANA
2023-12-17;24,3071;1.0;m³/s;1;1;41260000;ANA
2023-12-18;22,6181;1.0;m³/s;1;1;41260000;ANA
2023-12-19;22,3396;1.0;m³/s;1;1;41260000;ANA
2023-12-20;33,4871;1.0;m³/s;1;1;41260000;ANA
2023-12-21;27,4802;1.0;m³/s;1;1;41260000;ANA
2023-12-22;30,4467;1.0;m³/s;1;1;41260000;ANA
2023-12-23;32,5674;1.0;m³/s;1;1;41260000;ANA
2023-12-24;53,1119;1.0;m³/s;1;1;41260000;ANA
2023-12-25;46,6581;1.0;m³/s;1;1;41260000;ANA
2023-12-26;35,3454;1.0;m³/s;1;1;41260000;ANA
2023-12-27;31,049;1.0;m³/s;1;1;41260000;ANA
2023-12-28;38,8159;1.0;m³/s;1;1;41260000;ANA
2023-12-29;41,3898;1.0;m³/s;1;1;41260000;ANA
2023-12-30;28,954;1.0;m³/s;1;1;41260000;ANA
2023-12-31;27,4802;1.0;m³/s;1;1;41260000;ANA
2023-11-01;0.0;25,4497;m³/s;1;1;41260000;ANA
2023-11-02;59,7676;;m³/s;1;1;41260000;ANA
2023-11-03;47,3275;1.0;m³/s;1;1;41260000;ANA
2023-11-04;47,9993;1.0;m³/s;1;1;41260000;ANA
