Data;Vazao;VazaoStatus;Unidades;MetodoObtencao;NivelConsistencia;CodigoEstacao;Responsavel
2022-09-13;17,585;1.0;m³/s;1;1;41340000;ANA
2022-09-14;17,8055;1.0;m³/s;1;1;41340000;ANA
2022-09-15;16,929;1.0;m³/s;1;1;41340000;ANA
2022-09-16;17,1467;1.0;m³/s;1;1;41340000;ANA
2022-09-17;16,7121;1.0;m³/s;1;1;41340000;ANA
2022-09-18;16,929;1.0;m³/s;1;1;41340000;ANA
2022-09-19;16,7121;1.0;m³/s;1;1;41340000;ANA
2022-09-20;16,2812;1.0;m³/s;1;1;41340000;ANA
2022-09-21;16,2812;1.0;m³/s;1;1;41340000;ANA
2022-09-22;16,2812;1.0;m³/s;1;1;41340000;ANA
2022-09-23;23,1179;1.0;m³/s;1;1;41340000;ANA
2022-09-24;39,2366;1.0;m³/s;1;1;41340000;ANA
2022-09-25;24,8229;1.0;m³/s;1;1;41340000;ANA
2022-09-26;18,9213;1.0;m³/s;1;1;41340000;ANA
2022-09-27;17,1467;1.0;m³/s;1;1;41340000;ANA
2022-09-28;18,2491;1.0;m³/s;1;1;41340000;ANA
2022-09-29;36,4074;1.0;m³/s;1;1;41340000;ANA
2022-09-30;27,3267;1.0;m³/s;1;1;41340000;ANA
2022-08-01;0.0;19,6015;m³/s;1;1;41340000;ANA
2022-08-02;22,6381;;m³/s;1;1;41340000;ANA
2022-08-03;22,1616;;m³/s;1;1;41340000;ANA
2022-08-04;22,3994;1.0;m³/s;1;1;41340000;ANA
2022-08-05;21,4532;;m³/s;1;1;41340000;ANA
2022-08-06;22,1616;;m³/s;1;1;41340000;ANA
2022-08-07;21,6885;;m³/s;1;1;41340000;ANA
2022-08-08;21,6885;;m³/s;1;1;41340000;ANA
2022-08-09;21,2187;;m³/s;1;1;41340000;ANA
2022-08-10;20,9851;;m³/s;1;1;41340000;ANA
2022-08-11;21,2187;;m³/s;1;1;41340000;ANA
2022-08-12;21,6885;;m³/s;1;1;41340000;ANA
2022-08-13;20,9851;;m³/s;1;1;41340000;ANA
2022-08-14;21,6885;;m³/s;1;1;41340000;ANA
2022-08-15;21,4532;;m³/s;1;1;41340000;ANA
2022-08-16;20,7524;;m³/s;1;1;41340000;ANA
2022-08-17;20,9851;;m³/s;1;1;41340000;ANA
2022-08-18;20,7524;;m³/s;1;1;41340000;ANA
2022-08-19;20,2894;;m³/s;1;1;41340000;ANA
2022-08-20;20,7524;;m³/s;1;1;41340000;ANA
2022-08-21;20,2894;;m³/s;1;1;41340000;ANA
2022-08-22;19,8299;;m³/s;1;1;41340000;ANA
2022-08-23;20,0592;;m³/s;1;1;41340000;ANA
2022-08-24;20,5205;;m³/s;1;1;41340000;ANA
2022-08-25;20,0592;;m³/s;1;1;41340000;ANA
2022-08-26;19,8299;;m³/s;1;1;41340000;ANA
2022-08-27;20,2894;;m³/s;1;1;41340000;ANA
2022-08-28;18,9213;;m³/s;1;1;41340000;ANA
2022-08-29;21,9246;;m³/s;1;1;41340000;ANA
2022-08-30;19,8299;;m³/s;1;1;41340000;ANA
2022-08-31;19,3739;;m³/s;1;1;41340000;ANA
2022-07-01;0.0;23,1179;m³/s;1;1;41340000;ANA
2022-07-02;29,1258;;m³/s;1;1;41340000;ANA
2022-07-03;29,1258;;m³/s;1;1;41340000;ANA
2022-07-04;28,3501;;m³/s;1;1;41340000;ANA
2022-07-05;28,6079;;m³/s;1;1;41340000;ANA
2022-07-06;28,0931;;m³/s;1;1;41340000;ANA
2022-07-07;27,3267;;m³/s;1;1;41340000;ANA
2022-07-08;27,8369;;m³/s;1;1;41340000;ANA
2022-07-09;27,0728;;m³/s;1;1;41340000;ANA
2022-07-10;27,3267;;m³/s;1;1;41340000;ANA
2022-07-11;27,0728;;m³/s;1;1;41340000;ANA
2022-07-12;26,5673;;m³/s;1;1;41340000;ANA
2022-07-13;26,5673;;m³/s;1;1;41340000;ANA
2022-07-14;26,5673;;m³/s;1;1;41340000;ANA
2022-07-15;26,5673;;m³/s;1;1;41340000;ANA
2022-07-16;26,5673;;m³/s;1;1;41340000;ANA
2022-07-17;26,5673;1.0;m³/s;1;1;41340000;ANA
2022-07-18;26,3157;;m³/s;1;1;41340000;ANA
2022-07-19;26,5673;;m³/s;1;1;41340000;ANA
2022-07-20;26,5673;;m³/s;1;1;41340000;ANA
2022-07-21;26,3157;;m³/s;1;1;41340000;ANA
2022-07-22;27,8369;;m³/s;1;1;41340000;ANA
2022-07-23;26,3157;;m³/s;1;1;41340000;ANA
2022-07-24;26,0649;;m³/s;1;1;41340000;ANA
2022-07-25;25,5657;;m³/s;1;1;41340000;ANA
2022-07-26;25,3173;;m³/s;1;1;41340000;ANA
2022-07-27;24,8229;;m³/s;1;1;41340000;ANA
2022-07-28;24,5769;;m³/s;1;1;41340000;ANA
2022-07-29;27,5814;;m³/s;1;1;41340000;ANA
2022-07-30;23,359;;m³/s;1;1;41340000;ANA
2022-07-31;23,1179;;m³/s;1;1;41340000;ANA
2022-06-01;0.0;28,3501;m³/s;1;1;41340000;ANA
2022-06-02;33,6485;;m³/s;1;1;41340000;ANA
2022-06-03;33,3766;;m³/s;1;1;41340000;ANA
2022-06-04;35,019;;m³/s;1;1;41340000;ANA
2022-06-05;33,6485;;m³/s;1;1;41340000;ANA
2022-06-06;32,2961;;m³/s;1;1;41340000;ANA
2022-06-07;31,7603;;m³/s;1;1;41340000;ANA
2022-06-08;32,2961;;m³/s;1;1;41340000;ANA
2022-06-09;31,2274;;m³/s;1;1;41340000;ANA
2022-06-10;31,4935;;m³/s;1;1;41340000;ANA
2022-06-11;30,9621;;m³/s;1;1;41340000;ANA
