Data;Vazao;VazaoStatus;Unidades;MetodoObtencao;NivelConsistencia;CodigoEstacao;Responsavel
2023-06-01;0.0;5,0638;m³/s;1;1;41250000;ANA
2023-06-02;5,6263;;m³/s;1;1;41250000;ANA
2023-06-03;5,5445;1.0;m³/s;1;1;41250000;ANA
2023-06-04;5,5445;1.0;m³/s;1;1;41250000;ANA
2023-06-05;5,5445;1.0;m³/s;1;1;41250000;ANA
2023-06-06;5,5445;1.0;m³/s;1;1;41250000;ANA
2023-06-07;5,5445;1.0;m³/s;1;1;41250000;ANA
2023-06-08;5,5445;1.0;m³/s;1;1;41250000;ANA
2023-06-09;5,5445;1.0;m³/s;1;1;41250000;ANA
2023-06-10;5,5445;1.0;m³/s;1;1;41250000;ANA
2023-06-11;5,5445;1.0;m³/s;1;1;41250000;ANA
2023-06-12;5,5445;1.0;m³/s;1;1;41250000;ANA
2023-06-13;5,5445;1.0;m³/s;1;1;41250000;ANA
2023-06-14;5,5445;1.0;m³/s;1;1;41250000;ANA
2023-06-15;5,5445;1.0;m³/s;1;1;41250000;ANA
2023-06-16;5,5445;1.0;m³/s;1;1;41250000;ANA
2023-06-17;5,5445;1.0;m³/s;1;1;41250000;ANA
2023-06-18;5,5445;1.0;m³/s;1;1;41250000;ANA
2023-06-19;5,5445;1;m³/s;1;1;41250000;ANA
2023-06-20;5,5445;1;m³/s;1;1;41250000;ANA
2023-06-21;5,5445;1;m³/s;1;1;41250000;ANA
2023-06-22;5,4632;1;m³/s;1;1;41250000;ANA
2023-06-23;5,302;1;m³/s;1;1;41250000;ANA
2023-06-24;5,2222;1;m³/s;1;1;41250000;ANA
2023-06-25;5,2222;1;m³/s;1;1;41250000;ANA
2023-06-26;5,2222;1;m³/s;1;1;41250000;ANA
2023-06-27;5,2222;1;m³/s;1;1;41250000;ANA
2023-06-28;5,1428;1;m³/s;1;1;41250000;ANA
2023-06-29;5,0638;1;m³/s;1;1;41250000;ANA
2023-06-30;5,0638;1;m³/s;1;1;41250000;ANA
2023-05-01;0.0;5,7085;m³/s;1;1;41250000;ANA
2023-05-02;7,4498;1.0;m³/s;1;1;41250000;ANA
2023-05-03;6,9084;1.0;m³/s;1;1;41250000;ANA
2023-05-04;6,8197;1.0;m³/s;1;1;41250000;ANA
2023-05-05;6,7315;1.0;m³/s;1;1;41250000;ANA
2023-05-06;6,6437;1.0;m³/s;1;1;41250000;ANA
2023-05-07;6,3832;1.0;m³/s;1;1;41250000;ANA
2023-05-08;6,3832;1.0;m³/s;1;1;41250000;ANA
2023-05-09;6,3832;1.0;m³/s;1;1;41250000;ANA
2023-05-10;6,2117;1.0;m³/s;1;1;41250000;ANA
2023-05-11;6,2117;1.0;m³/s;1;1;41250000;ANA
2023-05-12;6,2117;1.0;m³/s;1;1;41250000;ANA
2023-05-13;6,2117;1.0;m³/s;1;1;41250000;ANA
2023-05-14;6,2117;1.0;m³/s;1;1;41250000;ANA
2023-05-15;6,2117;1.0;m³/s;1;1;41250000;ANA
2023-05-16;6,0421;1.0;m³/s;1;1;41250000;ANA
2023-05-17;6,0421;1.0;m³/s;1;1;41250000;ANA
2023-05-18;6,0421;1;m³/s;1;1;41250000;ANA
2023-05-19;5,958;1;m³/s;1;1;41250000;ANA
2023-05-20;5,8744;1;m³/s;1;1;41250000;ANA
2023-05-21;5,8744;1;m³/s;1;1;41250000;ANA
2023-05-22;5,8744;1;m³/s;1;1;41250000;ANA
2023-05-23;5,8744;1;m³/s;1;1;41250000;ANA
2023-05-24;5,8744;1;m³/s;1;1;41250000;ANA
2023-05-25;5,8744;1;m³/s;1;1;41250000;ANA
2023-05-26;5,8744;1;m³/s;1;1;41250000;ANA
2023-05-27;5,8744;1;m³/s;1;1;41250000;ANA
2023-05-28;5,8744;1;m³/s;1;1;41250000;ANA
2023-05-29;5,7085;1;m³/s;1;1;41250000;ANA
2023-05-30;5,7085;1.0;m³/s;1;1;41250000;ANA
2023-05-31;5,7085;1.0;m³/s;1;1;41250000;ANA
2023-04-01;0.0;7,9131;m³/s;1;1;41250000;ANA
2023-04-02;6,7315;;m³/s;1;1;41250000;ANA
2023-04-03;6,8197;1.0;m³/s;1;1;41250000;ANA
2023-04-04;8,1015;1.0;m³/s;1;1;41250000;ANA
2023-04-05;7,1771;1.0;m³/s;1;1;41250000;ANA
2023-04-06;6,9084;1.0;m³/s;1;1;41250000;ANA
2023-04-07;6,7315;1.0;m³/s;1;1;41250000;ANA
2023-04-08;6,7315;1.0;m³/s;1;1;41250000;ANA
2023-04-09;6,9084;1.0;m³/s;1;1;41250000;ANA
2023-04-10;11,5634;1.0;m³/s;1;1;41250000;ANA
2023-04-11;15,859;1.0;m³/s;1;1;41250000;ANA
2023-04-12;8,9706;1.0;m³/s;1;1;41250000;ANA
2023-04-13;7,9131;1.0;m³/s;1;1;41250000;ANA
2023-04-14;7,8196;1.0;m³/s;1;1;41250000;ANA
2023-04-15;7,6338;1.0;m³/s;1;1;41250000;ANA
2023-04-16;7,6338;1.0;m³/s;1;1;41250000;ANA
2023-04-17;7,4498;1.0;m³/s;1;1;41250000;ANA
2023-04-18;6,9084;1.0;m³/s;1;1;41250000;ANA
2023-04-19;6,9084;1;m³/s;1;1;41250000;ANA
2023-04-20;7,1771;1;m³/s;1;1;41250000;ANA
2023-04-21;8,1963;1;m³/s;1;1;41250000;ANA
2023-04-22;7,0871;1;m³/s;1;1;41250000;ANA
2023-04-23;6,9084;1;m³/s;1;1;41250000;ANA
2023-04-24;6,9084;1;m³/s;1;1;41250000;ANA
2023-04-25;6,9084;1;m³/s;1;1;41250000;ANA
2023-04-26;6,7315;1;m³/s;1;1;41250000;ANA
